name,email,url
12th Astronaut Lab,,
2D Visual Developers,2dvisdev@gmail.com,https://linktr.ee/2dvd
Aerospace Engineering Graduate Student Association ,aegsa@tamu.edu,https://aegsa6.wixsite.com/aegsa
Aggie Aerospace Women in Engineering,aggieawe@gmail.com,http://AAWE.engr.tamu.edu
Aggie Club of Engineers,Tamuacepresident@gmail.com,http://aggieclubofengineers.org/
Aggie Competitive Programming Club,contact@tamuacpc.com,http://tamuacpc.com
Aggie Data Science Club,aggiedatascience@gmail.com,https://www.aggiedatascience.com/
Aggie Robotics,aggie.robotics@tamu.edu,https://www.aggierobotics.org/
Aggie Students Supporting Israel,ssihowdy@gmail.com,
Aggie Women in Computer Science at Texas A&M University,tamu.awics@gmail.com,https://www.awics.org
Aggies Create,aggiescreate@gmail.com,http://aggiescreate.com
AggieSat Laboratory,aggiesat@tamu.edu,http://aggiesat.tamu.edu/
Alpha Omega Epsilon,tamuaoe@gmail.com,http://www.aggieaoe.com/
American Chemical Society Polymer chemistry/Polymeric Materials: Science and Engineering Student Chapter,polypmse-sc@lists.tamu.edu,https://www.facebook.com/tamupolypmse
American Institute of Aeronautics and Astronautics,aiaa.tamu@gmail.com,http://tamuaiaa.org
American Institute of Chemical Engineers,president.aichetamu@gmail.com,http://www.aichetamu.org/
American Nuclear Society,ans@tamu.edu,https://ans-tamu.weebly.com/
American Rock Mechanics Association Texas A&M University Student Chapter,,http://Texas A&M University
American Society of Civil Engineers (J.T.L. McNew Chapter),president@tamuasce.com,http://tamuasce.com
American Society of Mechanical Engineers,meen-asme@tamu.edu,http://tamuasme.com
Architectural Engineering Institute - Texas A&M Chapter,aei.tamu@gmail.com,https://aeitamu.wixsite.com/my-site
Association of Environmental Engineering Students,vp.aeestamu@gmail.com,
Biomedical Engineering Society,tamubmes.president@gmail.com,https://www.bmestamu.com/
Bold Leaders in Urban Education,bluetamu@gmail.com,
Chemical Engineering Graduate Student Association,chen-chegsa@tamu.edu,https://www.chegsatamu.com
Civil and Environmental Engineering Graduate Student Association  ,ceegsatamu2020@gmail.com,
Computer Science and Engineering Graduate Student Association,csegsa@cse.tamu.edu,http://csegsa.cse.tamu.edu
Electrical and Computer Engineering Graduate Student Association,ecegsa@tamu.edu,http://ecegsatamu.com
Engineering Mentorship Council,director.emc.tamu@gmail.com,https://emctamu.wixsite.com/engineeringmentors
Engineers for a Sustainable World,tamu.esw@gmail.com,https://www.tamuesw.com/
Engineers Serving the Community,esctamu.president@gmail.com,https://sites.google.com/view/esctamu/home
"FEST - (Freshman in Engineering, Science, and Technology)",fest.tamu@gmail.com,http://tamufest.org
Freshmen Reaching Excellence in Engineering,tamufreeflo@gmail.com,http://freefreshmen.com
Grace Chinese Student Fellowship,,
IEEE-Power Engineering Society-Industry Application Society-Power Electronics Society Joint Student Chapter,ieee.tamu.power.sc@gmail.com,https://eppei.squarespace.com/
IEEE-Tech Electrical and Electronics Engineers,ieeetech@gmail.com,http://ieeetech.tamu.edu
Industrial and Systems Engineering Graduate Student Association,,
Institute of Industrial and Systems Engineers,iise.tamu@gmail.com,https://www.tamuiise.com/
Institute of Transportation Engineers,tamuite.president@gmail.com,http://tamu.texite.org
Internal Audit Program - Student Association,tamuia@mays.tamu.edu,https://urldefense.com/v3/__https://www.tamuiapsa.com/__;!!KwNVnqRv!XepY4UHlOxc25078X5QLKsKowho49VbSDvLKErJN5fIDEh_JvdrG0YuzFL2qADGb9Q$
League of United Latin American Citizens Council 22424,lulac.22424@gmail.com,
"MAES: Latinos in Science and Engineering, Texas A&M University Chapter",maestamu.main@gmail.com,https://www.maestamu.org
Marine Technology Society,mtssnametamu@gmail.com,http://mtssname.tamu.edu/
Materials Advantage,materials.advantage.tamu@gmail.com,
Materials Science and Engineering Ambassadors,msen-ambassadors@tamu.edu,https://engineering.tamu.edu/materials/advising/MSEN-Student-Ambassadors.html
Mays Transfer Organization ,maystransferorg@gmail.com,
McAllen Society of Automotive Engineers,,
Mechanical Engineering Female Grad Students,mefegs@tamu.edu,https://www.mefegstamu.org/
Mechanical Engineering Graduate Student Organization,megso@tamu.edu,https://tamumegso.org
National Organization of Minority Architecture Students - Texas A&M University Chapter,,https://www.instagram.com/tamu_nomas/
National Society of Black Engineers,tamunsbe.chair71@gmail.com,http://tamunsbe.org
Neurodivergent ; Aggies,ndaggies@gmail.com,
Omega Epsilon,clay.cald124@tamu.edu,http://omegaepsilon.tamu.edu/
Palestine Solidarity Committee,psc.tamu@gmail.com,
Panel of Herox Aggie Student Engineers,,
"Phi Beta Sigma Fraternity, Inc.",tamusigmas95@gmail.com,https://phibetasigma1914.org/
Phi Sigma Rho,phirho.tamu@gmail.com,http://tamuphisigmarho.com
Physics and Astronomy Graduate Student Assembly,gsa@physics.tamu.edu,http://tx.ag/PandAGSA
Presente en la Lucha de Mama,,
Product@TAMU,,
Professional Association for Industrial Distribution,president@tamupaid.org,https://paid.tamu.edu
Robomaster Robotic,tamurobomasters@gmail.com,http://tamurobomasters.com
Sikh Students Association,,http://Texas A&M
Society of Asian Scientists & Engineers,sasetamu@gmail.com,http://sasetamu.org
Society of Automotive Engineers,president.sae.tamu@gmail.com,http://Texas A&M University
Society of Flight Test Engineers,sftetamu@gmail.com,https://sftetamu9.wixsite.com/website
Society of Hispanic Professional Engineers,tamushpe@gmail.com,http://www.tamushpe.org
Society of Manufacturing Engineers,sme.tamu.s099@gmail.com,http://smetamu.weebly.com
Society of Naval Architects and Marine Engineers,rgalindo2002@tamu.edu,https://maroonlink.tamu.edu/organization/mts
Society of Plastic Engineers,spe@plastics.tamu.edu,http://Texas A&M University
Society of Sonic Flight Engineers ,,
Society of Women Engineers,president@swetamu.org,http://www.swetamu.com/
Society of Women in Industrial Distribution,swidpresident@gmail.com,https://swidtamu.wordpress.com
Soul Purpose a Cappella,,
Spanish Involvement and Community Outreach,sicotamu@gmail.com,
Sports Analytics Club,,
Student Engineers' Council,president@sec.tamu.edu,http://sec.tamu.edu
Students of Eastern Africa,tamusea23@gmail.com,https://tamusea23.wixsite.com/tamusea
T minus,,
TAMU Fluid Power Club,,
Texas A&M College of Veterinary Medicine Officer Team,Drparsons@cvm.tamu.edu,http://None at the moment
Texas A&M Computing Society,tacs-officers@lists.tamu.edu,http://tacs.tamu.edu
Texas A&M Fly Fishing Club,tamuflyclub@gmail.com,http://tamuflyfishingassociation.tamu.edu
Texas A&M Student Branch of The ASHRAE,ashraetamuwebmaster@gmail.com,http://m.facebook.com/ASHRAE.TAMU
Texas A&M Student Section of the Structural Engineers Association of Texas,,http://seaot.tamu.edu/
Texas A&M University Chapter of Geo-Institute,tamugi22@gmail.com,https://maroonlink.tamu.edu/organization/gi
Texas A&M University Sounding Rocketry Team,tamurocketry@gmail.com,http://tamusrt.org
"Texas A&M University Student Branch, American Society for Quality",tamuasq@gmail.com,
Texas A&M University Student Chapter of the Society of Petroleum Engineers,Tamu.spe.president@gmail.com,https://www.tamuspe.org/
Texas Aggie Bankruptcy Society,,
Texas Blockchain at A&M,tamublock@gmail.com,http://tamublockchain.xyz
The Entrepreneur Connection,aggietecinfo@gmail.com,http://N/A
"The Institute of Electrical and Electronics Engineers, Inc.",ieeetamu.officers@gmail.com,http://www.ieee-tamu.org/
THE SOCIETY OF MECHATRONICS ENGINEERING TECHNOLOGY,somtech.mxet@gmail.com,https://somtech.bio.link/
Theta Tau,thetatau.xigamma@gmail.com,http://www.tamuthetatau.com
Volunteers Around the World- Veterinary Outreach Texas A&M,,https://www.volunteersaroundtheworld.org/
Women In Nuclear,,
Society of Women in Space Exploration,swisetamu@gmail.com,https://swisetamu.wixsite.com/swise
American Society for Engineering Management at Texas A&M University,,
